"id";"title";"artist";"release_year";"genre";"confirmed_genre";"link";"confirmed_link";"lyrics"
1;"Because the Night";"10,000 Maniacs";1993;"Rock";0;"";0;""
2;"Cupid";"112";1996;"R&B Soul";0;"";0;""
3;"Peaches and Cream";"112";2001;"R&B Soul";0;"";0;""
4;"California Love";"2Pac";1995;"Hip Hop";0;"";0;""
5;"Dear Mama";"2Pac";1995;"Hip Hop";0;"";0;""
6;"Changes (feat. Talent)";"2Pac";1998;"Hip Hop";0;"";0;""
7;"I Get Around";"2Pac";1993;"Hip Hop";0;"";0;""
8;"How Do U Want It";"2Pac";1996;"Hip Hop";0;"";0;""
9;"Do for Love";"2Pac";1997;"Hip Hop";0;"";0;""
10;"Kryptonite";"3 Doors Down";1999;"Pop";0;"";0;""
11;"Here Without You";"3 Doors Down";2000;"Pop";0;"";0;""
12;"When I'm Gone";"3 Doors Down";2000;"Pop";0;"";0;""
13;"Landing in London";"3 Doors Down";2005;"Rock";0;"";0;""
14;"Loser";"3 Doors Down";2000;"Pop";0;"";0;""
15;"It's Not My Time";"3 Doors Down";2008;"Rock";0;"";0;""
16;"Be Like That";"3 Doors Down";2000;"Pop";0;"";0;""
17;"Let Me Go";"3 Doors Down";2005;"Pop";0;"";0;""
18;"Away From The Sun";"3 Doors Down";2000;"Pop";0;"";0;""
19;"Ticket to Heaven";"3 Doors Down";2002;"Rock";0;"";0;""
20;"Behind Those Eyes";"3 Doors Down";2005;"Pop";0;"";0;""
21;"Going Down in Flames";"3 Doors Down";2002;"Rock";0;"";0;""
22;"Live for Today";"3 Doors Down";2005;"Pop";0;"";0;""
23;"Dangerous Game";"3 Doors Down";2002;"Rock";0;"";0;""
24;"Amber";"311";2001;"Rock";0;"";0;""
25;"Love Song";"311";2004;"Alternative";0;"";0;""
26;"Beyond the Gray Sky";"311";2003;"Alternative";0;"";0;""
27;"Creatures (For a While)";"311";2003;"Alternative";0;"";0;""
28;"I'll Be Here Awhile";"311";2001;"Rock";0;"";0;""
29;"You Wouldn't Believe";"311";1993;"Rock";0;"";0;""
30;"In Da Club";"50 Cent";2003;"Hip Hop";0;"";0;""
31;"Candy Shop (feat. Olivia)";"50 Cent";2005;"Hip Hop";0;"";0;""
32;"Hate it or Love it";"50 Cent";2005;"Hip Hop";0;"";0;""
33;"Baby By Me";"50 Cent";2009;"Hip Hop";0;"";0;""
34;"I Do (Cherish You)";"98 Degrees";1998;"Adult Contemporary";0;"";0;""
35;"Give Me Just One Night (Una Noche)";"98 Degrees";2000;"Pop";0;"";0;""
36;"My Everything";"98 Degrees";2000;"Pop";0;"";0;""
37;"Why (Are we Still Friends)";"98 Degrees";2002;"Pop";0;"";0;""
38;"I Ran (So Far Away)";"A Flock of Seagulls";1982;"Alternative";0;"";0;""
39;"Wishing (If I had a Photograph of you)";"A Flock of Seagulls";1982;"New Wave";0;"";0;""
40;"Say Something";"A Great Big World";2013;"Instrumental";0;"";0;""
41;"Already Home";"A Great Big World";2014;"Pop";0;"";0;""
42;"Rockstar";"A Great Big World";2014;"Pop";0;"";0;""
43;"You'll be Okay";"A Great Big World";2014;"Pop";0;"";0;""
44;"Hold each other";"A Great Big World";2015;"Pop";0;"";0;""
45;"I Really want it";"A Great Big World";2014;"Pop";0;"";0;""
46;"Shallow";"A Star is Born";2018;"Soundtrack";0;"";0;""
47;"Always Remember Us This Way";"A Star is Born";2018;"Soundtrack";0;"";0;""
48;"I'll Never Love Again";"A Star is Born";2018;"Soundtrack";0;"";0;""
49;"Maybe it's Time";"A Star is Born";2018;"Soundtrack";0;"";0;""
50;"Is that Alright?";"A Star is Born";2018;"Soundtrack";0;"";0;""
51;"Music to my Eye's";"Lady Gaga & Bradley Cooper";0;"undefined";0;"";0;""
52;"Look what I Found";"A Star is Born";2018;"Soundtrack";0;"";0;""
53;"Diggin' my Grave";"A Star is Born";2018;"Soundtrack";0;"";0;""
54;"Alibi";"A Star is Born";2018;"Soundtrack";0;"";0;""
55;"Black Eye's";"Bradley Cooper";0;"undefined";0;"";0;""
56;"I don't know What Love is";"A Star is Born";2018;"Soundtrack";0;"";0;""
57;"Too far Gone";"A Star is Born";2018;"Soundtrack";0;"";0;""
58;"La Vie En Rose";"A Star is Born";2018;"Soundtrack";0;"";0;""
59;"Before I Cry";"A Star is Born";2018;"Soundtrack";0;"";0;""
60;"Why did you do That?";"A Star is Born";2018;"Soundtrack";0;"";0;""
61;"Heal Me";"A Star is Born";2018;"Soundtrack";0;"";0;""
62;"Take on me";"a-Ha";1984;"Pop";0;"";0;""
63;"The Sun Always Shines on TV";"a-Ha";1985;"Pop";0;"";0;""
64;"Hunting High and Low";"a-Ha";1985;"Pop";0;"";0;""
65;"The Living Daylights";"a-Ha";1987;"Pop";0;"";0;""
66;"I've been Losing You";"a-Ha";1986;"Pop";0;"";0;""
67;"Summer Moved On";"a-Ha";2000;"Pop";0;"";0;""
68;"Stay on these Roads";"a-Ha";1988;"Pop";0;"";0;""
69;"Touchy!";"a-Ha";1988;"Pop";0;"";0;""
70;"You are the One";"a-Ha";1988;"Pop";0;"";0;""
71;"Are you that Somebody?";"Aaliyah";1998;"Soundtrack";0;"";0;""
72;"At your Best(You are love)";"Aaliyah";1998;"Soundtrack";0;"";0;""
73;"Rock the Boat";"Aaliyah";2001;"R&B Soul";0;"";0;""
74;"Try Again";"Aaliyah";2000;"Hip Hop";0;"";0;""
75;"Back & Forth";"Aaliyah";1994;"Hip-Hop";0;"";0;""
76;"We Need a Resolution";"Aaliyah";2001;"Dance";0;"";0;""
77;"I don't Wanna";"Aaliyah";1999;"Hip Hop";0;"";0;""
78;"The One I Gave my Heart to";"Aaliyah";1996;"R&B Soul";0;"";0;""
79;"Country Boy";"Aaron Lewis";2010;"Country";0;"";0;""
80;"That Ain't Country";"Aaron Lewis";2010;"Country";0;"";0;""
81;"Tell it like it is";"Aaron Neville";1966;"Blues";0;"";0;""
82;"Even if my Heart Would Break";"Aaron Neville";1992;"Jazz";0;"";0;""
83;"Kiss This";"Aaron Tippin";2000;"Country";0;"";0;""
84;"Where the Stars and Stripes and the Eagle Fly";"Aaron Tippin";2001;"Country";0;"";0;""
85;"Dancing Queen";"ABBA";1976;"Pop";0;"";0;""
